src_ip,dst_ip,src_port,dst_port,protocol,ja4,ja4s,ja4h,ja4ssh,ja4x,ja4l_c,ja4l_s,ja4t,ja4ts,ja4d,ja4_version,ja4_sni,ja4_cipher_count,ja4_extension_count,ja4_alpn,ja4_cipher_hash,ja4_extension_hash,ja4s_version,ja4s_ext_count,ja4s_alpn,ja4s_cipher,ja4s_ext_hash,ja4h_method,ja4h_version,ja4h_cookie,ja4h_referer,ja4h_header_count,ja4h_lang,ja4h_header_hash,ja4h_cookie_name_hash,ja4h_cookie_value_hash,ja4l_latency_c,ja4l_ttl_c,ja4l_app_latency_c,ja4l_latency_s,ja4l_ttl_s,ja4l_app_latency_s,ja4t_window_size,ja4t_tcp_options,ja4t_mss,ja4t_window_scale,ja4ts_window_size,ja4ts_tcp_options,ja4ts_mss,ja4ts_window_scale,ja4d_type,ja4d_size,ja4d_ip,ja4d_fqdn,ja4d_options,ja4d_request_list,flow_duration,total_fwd_packets,total_bwd_packets,total_packets,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_bytes_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,fwd_urg_flags,fwd_psh_ack_count,bwd_psh_flags,bwd_urg_flags,bwd_psh_ack_count,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,fwd_header_len,bwd_header_len,fwd_header_len_mean,bwd_header_len_mean,fwd_payload_bytes,bwd_payload_bytes,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,down_up_ratio,avg_pkt_size,avg_fwd_segment_size,avg_bwd_segment_size,init_fwd_win_bytes,init_bwd_win_bytes,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,is_known_doh_server,uses_port_443,uses_port_853,has_tls,has_http,response_time_mean,response_time_std,response_time_max,response_time_min,pkt_len_variance,pkt_len_median,pkt_len_mode,pkt_len_skew_from_median,pkt_len_cov,pkt_time_variance,pkt_time_median,pkt_time_mode,pkt_time_skew_from_median,Label,Mitre_Tactics,Mitre_Techniques,Resolved_Attack_IDs,Resolved_Attack_Labels,Resolved_Label_Count
192.168.100.7,95.100.158.107,49840,443,TCP,t12d1909h2_d83cc789557e_8b3d0794f56f,t1206Pe_c02c_9bd66850b8f2,,,,124_128_235,6158_56_0000,65535_2-1-3-1-1-4_1460_8,64240_2-1-1-4-1-3_1131_7,,12,d,19,9,h2,d83cc789557e,8b3d0794f56f,12,6,Pe,c02c,9bd66850b8f2,xx,0,n,n,0,0000,000000000000,000000000000,000000000000,124,128,235,6158,56,0,65535,2-1-3-1-1-4,1460,8,64240,2-1-1-4-1-3,1131,7,0,0,n,n,0,0,209.9362051486969,26,20,46,1185.0,54.0,266.03846153846155,403.7291057483995,1185.0,54.0,279.25,399.6727254892433,59.55142416309225,0.2191141826509553,4.665249003304376,20.31460776232834,120.0127019882202,4.0531158447265625e-06,209.9362051486969,8.397448205947876,26.67382502350944,120.01311492919922,4.0531158447265625e-06,120.0776391029358,6.319875742259779,26.79768530934013,120.0128231048584,1.3828277587890623e-05,7,0,7,8,0,8,7,2,1,15,45,0,0,0,1052,812,20.46153846153846,20.6,5501,4494,1185.0,54.0,271.7826086956522,402.0238427411055,161623.1701323251,0.7692307692307693,271.7826086956522,266.03846153846155,279.25,65535,64240,4.665249003304376,20.31460776232834,120.0127019882202,4.0531158447265625e-06,0,0,0,0,0,1,0,1,0,17.151650156293595,41.99284888158668,120.0127019882202,0.0028059482574462,161623.1701323251,60.0,54.0,1.698313057998274,1.4792110675164654,412.6832885372508,0.0002350807189941,2.002716064453125e-05,4.8273835360947785,1,Credential Access;Discovery,Software Discovery (0/2);Credentials from Password Stores (1/6);System Information Discovery;Query Registry;Unsecured Credentials (1/8),T1518;T1555.001;T1082;T1012;T1552.001,T1518 Software Discovery;T1555.001 Credentials from Password Stores: Keychain;T1082 System Information Discovery;T1012 Query Registry;T1552.001 Unsecured Credentials: Credentials In Files,5
150.171.22.17,192.168.100.7,443,49841,TCP,,,,,,17377_128_361,17008_111_0000,64240_2-1-3-1-1-4_1460_8,65535_2-1-3-1-1-4_1131_8,,0,i,0,0,00,000000000000,000000000000,0,0,00,0000,000000000000,xx,0,n,n,0,0000,000000000000,000000000000,000000000000,17377,128,361,17008,111,0,64240,2-1-3-1-1-4,1460,8,65535,2-1-3-1-1-4,1131,8,0,0,n,n,0,0,0.1117157936096191,21,13,34,1185.0,54.0,419.6666666666667,493.3297297165681,1185.0,54.0,235.23076923076923,318.01043859165134,106260.7140533965,304.34371812109185,0.0033853270790793,0.0060375470728031,0.0173180103302001,1.5020370483398438e-05,0.0946061611175537,0.0047303080558776,0.0087013980094705,0.0326638221740722,1.5974044799804688e-05,0.1117157936096191,0.0093096494674682,0.0090518441787311,0.0265100002288818,1.5020370483398438e-05,6,0,6,5,0,5,2,2,0,11,33,0,0,0,852,532,20.571428571428573,20.923076923076923,7667,2344,1185.0,54.0,349.1470588235294,443.8696902280152,197020.3019031142,0.6190476190476191,349.1470588235294,419.6666666666667,235.23076923076923,65535,64240,0.0033853270790793,0.0060375470728031,0.0173180103302001,1.5020370483398438e-05,0,0,0,0,0,1,0,0,0,9.298324584960938e-05,2.5706343826780683e-05,0.0001349449157714,5.698204040527344e-05,197020.3019031142,92.0,54.0,1.2130731777179695,1.2712972342475377,3.645197465631442e-05,0.0002338886260986,2.09808349609375e-05,1.464400878233,1,Credential Access;Discovery,Software Discovery (0/2);Credentials from Password Stores (1/6);System Information Discovery;Query Registry;Unsecured Credentials (1/8),T1518;T1555.001;T1082;T1012;T1552.001,T1518 Software Discovery;T1555.001 Credentials from Password Stores: Keychain;T1082 System Information Discovery;T1012 Query Registry;T1552.001 Unsecured Credentials: Credentials In Files,5
150.171.27.11,192.168.100.7,80,49842,TCP,,,ge11nn070000_e9f4396aa794_000000000000_000000000000,,,17465_128_26262,16526_118_0000,64240_2-1-3-1-1-4_1460_8,65535_2-1-3-1-1-4_1131_8,,0,i,0,0,00,000000000000,000000000000,0,0,00,0000,000000000000,ge,11,n,n,7,0000,e9f4396aa794,000000000000,000000000000,17465,128,26262,16526,118,0,64240,2-1-3-1-1-4,1460,8,65535,2-1-3-1-1-4,1131,8,0,0,n,n,0,0,0.087224006652832,5,5,10,897.0,54.0,225.0,336.0321413198446,707.0,54.0,187.0,260.04153514390737,23617.351220738896,114.64733602300434,0.0096915562947591,0.0089481518887063,0.0262620449066162,2.5987625122070312e-05,0.0706219673156738,0.0176554918289184,0.0108374157607987,0.0268690586090087,2.5987625122070312e-05,0.087224006652832,0.021806001663208,0.019596263238396,0.0543329715728759,0.0019230842590332,1,0,1,1,0,1,2,2,0,2,9,0,0,0,212,212,22.4,22.4,843,653,897.0,54.0,206.0,301.0491654198696,90630.6,1.0,206.0,225.0,187.0,65535,64240,0.0096915562947591,0.0089481518887063,0.0262620449066162,2.5987625122070312e-05,0,0,0,0,0,0,0,0,1,0.0042936007181803,0.005920899142283,0.0126669406890869,7.605552673339844e-05,90630.6,54.0,54.0,1.5728186210674109,1.461403715630435,8.006942222335865e-05,0.0126669406890869,2.5987625122070312e-05,0.3164950982514873,1,Credential Access;Discovery,Software Discovery (0/2);Credentials from Password Stores (1/6);System Information Discovery;Query Registry;Unsecured Credentials (1/8),T1518;T1555.001;T1082;T1012;T1552.001,T1518 Software Discovery;T1555.001 Credentials from Password Stores: Keychain;T1082 System Information Discovery;T1012 Query Registry;T1552.001 Unsecured Credentials: Credentials In Files,5
150.171.27.11,192.168.100.7,443,49843,TCP,,,,,,22133_128_1090,14789_118_0000,64240_2-1-3-1-1-4_1460_8,65535_2-1-3-1-1-4_1131_8,,0,i,0,0,00,000000000000,000000000000,0,0,00,0000,000000000000,xx,0,n,n,0,0000,000000000000,000000000000,000000000000,22133,128,1090,14789,118,0,64240,2-1-3-1-1-4,1460,8,65535,2-1-3-1-1-4,1131,8,0,0,n,n,0,0,0.1040809154510498,20,14,34,1185.0,54.0,418.65,481.5258326403683,1185.0,54.0,233.5,324.7310425567596,111855.28057230952,326.66891766522275,0.0031539671348802,0.0053853432884991,0.0149869918823242,1.0013580322265623e-05,0.0891921520233154,0.0046943237907008,0.0077886333908007,0.0224549770355224,1.811981201171875e-05,0.1040809154510498,0.0080062242654653,0.0092068788533741,0.0271768569946289,2.694129943847656e-05,6,0,6,5,0,5,2,2,0,11,33,0,0,0,812,572,20.6,20.857142857142858,7281,2501,1185.0,54.0,342.4117647058824,433.7238290220998,188116.35986159169,0.7,342.4117647058824,418.65,233.5,65535,64240,0.0031539671348802,0.0053853432884991,0.0149869918823242,1.0013580322265623e-05,0,0,0,0,0,1,0,0,0,0.0010956128438313,0.0022422520140986,0.0061080455780029,1.0013580322265623e-05,188116.35986159169,79.0,54.0,1.1999948646576963,1.2666732680597312,2.9001922334982623e-05,0.0001599788665771,1.811981201171875e-05,1.4179669148227965,1,Credential Access;Discovery,Software Discovery (0/2);Credentials from Password Stores (1/6);System Information Discovery;Query Registry;Unsecured Credentials (1/8),T1518;T1555.001;T1082;T1012;T1552.001,T1518 Software Discovery;T1555.001 Credentials from Password Stores: Keychain;T1082 System Information Discovery;T1012 Query Registry;T1552.001 Unsecured Credentials: Credentials In Files,5
104.18.22.222,192.168.100.7,443,49844,TCP,,,,,,17598_128_2813,15173_57_0000,64240_2-1-3-1-1-4_1460_8,65535_2-1-1-4-1-3_1131_13,,0,i,0,0,00,000000000000,000000000000,0,0,00,0000,000000000000,xx,0,n,n,0,0000,000000000000,000000000000,000000000000,17598,128,2813,15173,57,0,64240,2-1-3-1-1-4,1460,8,65535,2-1-1-4-1-3,1131,13,0,0,n,n,0,0,0.0382518768310546,10,6,16,1185.0,54.0,711.5,538.2704246008692,1185.0,54.0,312.8333333333333,417.4200189524003,235073.432859636,418.2801296434805,0.0025501251220703,0.0042266557191631,0.0151729583740234,5.0067901611328125e-06,0.0230789184570312,0.0025643242730034,0.0054165869015683,0.0175979137420654,1.9073486328125e-05,0.035719871520996,0.0071439743041992,0.0057242650973857,0.0153338909149169,1.5020370483398438e-05,1,0,1,1,0,1,2,2,1,2,15,0,0,0,412,252,21.2,22.0,6563,1541,1185.0,54.0,562.0,532.6111386368107,283674.625,0.6,562.0,711.5,312.8333333333333,65535,64240,0.0025501251220703,0.0042266557191631,0.0151729583740234,5.0067901611328125e-06,0,0,0,0,0,1,0,0,0,8.296966552734375e-05,7.796287536621094e-05,0.0001609325408935,5.0067901611328125e-06,283674.625,265.0,54.0,0.1999071808805146,0.9477066523786668,1.7864618568334358e-05,8.20159912109375e-05,5.0067901611328125e-06,1.9235991387638665,1,Credential Access;Discovery,Software Discovery (0/2);Credentials from Password Stores (1/6);System Information Discovery;Query Registry;Unsecured Credentials (1/8),T1518;T1555.001;T1082;T1012;T1552.001,T1518 Software Discovery;T1555.001 Credentials from Password Stores: Keychain;T1082 System Information Discovery;T1012 Query Registry;T1552.001 Unsecured Credentials: Credentials In Files,5
104.18.22.222,192.168.100.7,443,49845,TCP,,,,,,14576_128_5410,14079_57_0000,64240_2-1-3-1-1-4_1460_8,65535_2-1-1-4-1-3_1131_13,,0,i,0,0,00,000000000000,000000000000,0,0,00,0000,000000000000,xx,0,n,n,0,0000,000000000000,000000000000,000000000000,14576,128,5410,14079,57,0,64240,2-1-3-1-1-4,1460,8,65535,2-1-1-4-1-3,1131,13,0,0,n,n,0,0,0.0527451038360595,10,8,18,1185.0,54.0,711.5,538.2704246008692,1185.0,54.0,248.125,378.4720721202556,172527.86207956463,341.2639030145234,0.003102653166827,0.005725678379065,0.0171308517456054,1.71661376953125e-05,0.0385599136352539,0.0042844348483615,0.0067918810055005,0.0184078216552734,1.9073486328125e-05,0.0527451038360595,0.0075350148337227,0.0083693015387054,0.0196578502655029,2.09808349609375e-05,1,0,1,1,0,1,2,2,0,2,17,0,0,0,412,332,21.2,21.5,6563,1541,1185.0,54.0,505.55555555555554,526.9184231846122,277643.02469135803,0.8,505.55555555555554,711.5,248.125,65535,64240,0.003102653166827,0.005725678379065,0.0171308517456054,1.71661376953125e-05,0,0,0,0,0,1,0,0,0,0.0001079440116882,5.299556865640597e-05,0.0001618862152099,2.288818359375e-05,277643.02469135803,66.0,54.0,0.4065439645503615,1.0422562216838482,3.278339290049328e-05,0.0001060962677001,1.71661376953125e-05,1.5930878680299885,1,Credential Access;Discovery,Software Discovery (0/2);Credentials from Password Stores (1/6);System Information Discovery;Query Registry;Unsecured Credentials (1/8),T1518;T1555.001;T1082;T1012;T1552.001,T1518 Software Discovery;T1555.001 Credentials from Password Stores: Keychain;T1082 System Information Discovery;T1012 Query Registry;T1552.001 Unsecured Credentials: Credentials In Files,5
104.18.22.222,192.168.100.7,443,49846,TCP,,,,,,20302_128_4027,14519_57_0000,64240_2-1-3-1-1-4_1460_8,65535_2-1-1-4-1-3_1131_13,,0,i,0,0,00,000000000000,000000000000,0,0,00,0000,000000000000,xx,0,n,n,0,0000,000000000000,000000000000,000000000000,20302,128,4027,14519,57,0,64240,2-1-3-1-1-4,1460,8,65535,2-1-1-4-1-3,1131,13,0,0,n,n,0,0,1.192378044128418,16,14,30,1185.0,54.0,583.375,519.1135322595627,1185.0,54.0,199.07142857142856,298.92270006181343,10165.400193073816,25.15980577445875,0.0411164842802902,0.1972385957642504,1.0841631889343262,1.4066696166992188e-05,1.1777470111846924,0.0785164674123128,0.2711134180324493,1.0924010276794434,2.002716064453125e-05,1.192378044128418,0.0917213880098783,0.2867268043713649,1.0841631889343262,1.4066696166992188e-05,6,0,6,5,0,5,2,2,0,11,29,0,0,0,652,572,20.75,20.857142857142858,8458,2019,1185.0,54.0,404.03333333333336,471.3588500872299,222179.16555555564,0.875,404.03333333333336,583.375,199.07142857142856,65535,64240,0.0411164842802902,0.1972385957642504,1.0841631889343262,1.4066696166992188e-05,0,0,0,0,0,1,0,0,0,0.0001041889190673,4.4274785918158166e-05,0.0001618862152099,2.5987625122070312e-05,222179.16555555564,101.5,54.0,0.9017260482200296,1.16663357005337,0.0389030636590534,0.0001261234283447,1.4066696166992188e-05,5.092484793275873,1,Credential Access;Discovery,Software Discovery (0/2);Credentials from Password Stores (1/6);System Information Discovery;Query Registry;Unsecured Credentials (1/8),T1518;T1555.001;T1082;T1012;T1552.001,T1518 Software Discovery;T1555.001 Credentials from Password Stores: Keychain;T1082 System Information Discovery;T1012 Query Registry;T1552.001 Unsecured Credentials: Credentials In Files,5
150.171.22.17,192.168.100.7,443,49847,TCP,,,,,,21715_128_9577,21845_113_0000,64240_2-1-3-1-1-4_1460_8,65535_2-1-3-1-1-4_1131_8,,0,i,0,0,00,000000000000,000000000000,0,0,00,0000,000000000000,xx,0,n,n,0,0000,000000000000,000000000000,000000000000,21715,128,9577,21845,113,0,64240,2-1-3-1-1-4,1460,8,65535,2-1-3-1-1-4,1131,8,0,0,n,n,0,0,0.1968240737915039,22,15,37,1185.0,54.0,511.6818181818182,511.6590116619427,1185.0,54.0,231.2,326.6260246826637,74813.00288296146,187.98513457857888,0.0054673353830973,0.0121974797503925,0.052466869354248,1.5020370483398438e-05,0.1748890876770019,0.0083280517941429,0.0212929818937227,0.0986590385437011,1.5020370483398438e-05,0.1968240737915039,0.0140588624136788,0.0198915244435545,0.0660109519958496,1.5974044799804688e-05,7,0,7,5,0,5,2,2,0,12,36,0,0,0,892,612,20.545454545454547,20.8,10057,2646,1185.0,54.0,397.97297297297297,466.7718052629773,217875.9181884588,0.6818181818181818,397.97297297297297,511.6818181818182,231.2,65535,64240,0.0054673353830973,0.0121974797503925,0.052466869354248,1.5020370483398438e-05,0,0,0,0,0,1,0,0,0,0.0088214079538981,0.019518873575032,0.052466869354248,2.789497375488281e-05,217875.9181884588,92.0,54.0,0.9270089151010694,1.1728731269765813,0.0001487785122612,9.989738464355467e-05,1.5020370483398438e-05,2.7129091312031983,1,Credential Access;Discovery,Software Discovery (0/2);Credentials from Password Stores (1/6);System Information Discovery;Query Registry;Unsecured Credentials (1/8),T1518;T1555.001;T1082;T1012;T1552.001,T1518 Software Discovery;T1555.001 Credentials from Password Stores: Keychain;T1082 System Information Discovery;T1012 Query Registry;T1552.001 Unsecured Credentials: Credentials In Files,5
150.171.28.11,192.168.100.7,443,49848,TCP,,,,,,15094_128_1409,16218_118_0000,64240_2-1-3-1-1-4_1460_8,65535_2-1-3-1-1-4_1131_8,,0,i,0,0,00,000000000000,000000000000,0,0,00,0000,000000000000,xx,0,n,n,0,0000,000000000000,000000000000,000000000000,15094,128,1409,16218,118,0,64240,2-1-3-1-1-4,1460,8,65535,2-1-3-1-1-4,1131,8,0,0,n,n,0,0,0.7989299297332764,19,14,33,1185.0,54.0,406.6315789473685,477.287534492278,1185.0,54.0,209.7142857142857,299.27661084006945,13345.35057856641,41.30524939905191,0.0249665603041648,0.1229841886603482,0.7089369297027588,1.0013580322265623e-05,0.7826569080352783,0.0434809393352932,0.167049118218749,0.7318758964538574,1.7881393432617188e-05,0.7989299297332764,0.0614561484410212,0.189955095916105,0.7188770771026611,2.9087066650390625e-05,5,0,5,5,0,5,2,2,0,10,32,0,0,0,772,572,20.63157894736842,20.857142857142858,6688,2168,1185.0,54.0,323.09090909090907,422.6452315305795,178628.99173553716,0.7368421052631579,323.09090909090907,406.6315789473685,209.7142857142857,65535,64240,0.0249665603041648,0.1229841886603482,0.7089369297027588,1.0013580322265623e-05,0,0,0,0,0,1,0,0,0,0.1013595036097935,0.2480424524434889,0.7089369297027588,1.0013580322265623e-05,178628.99173553716,66.0,54.0,1.396798852905352,1.308130992356887,0.0151251106604441,0.0001254081726074,1.0013580322265623e-05,5.368858086220098,1,Credential Access;Discovery,Software Discovery (0/2);Credentials from Password Stores (1/6);System Information Discovery;Query Registry;Unsecured Credentials (1/8),T1518;T1555.001;T1082;T1012;T1552.001,T1518 Software Discovery;T1555.001 Credentials from Password Stores: Keychain;T1082 System Information Discovery;T1012 Query Registry;T1552.001 Unsecured Credentials: Credentials In Files,5
150.171.22.17,192.168.100.7,443,49849,TCP,,,,,,18582_128_528,16378_113_0000,64240_2-1-3-1-1-4_1460_8,65535_2-1-3-1-1-4_1131_8,,0,i,0,0,00,000000000000,000000000000,0,0,00,0000,000000000000,xx,0,n,n,0,0000,000000000000,000000000000,000000000000,18582,128,528,16378,113,0,64240,2-1-3-1-1-4,1460,8,65535,2-1-3-1-1-4,1131,8,0,0,n,n,0,0,0.2141270637512207,30,17,47,1185.0,54.0,643.2333333333333,524.1222302309092,1185.0,54.0,209.58823529411765,311.1666961658464,106759.04110168642,219.49584128518205,0.0046549361685047,0.0120313991524627,0.0618209838867187,2.86102294921875e-06,0.1976428031921386,0.0068152690755909,0.0203143322904353,0.1060340404510498,2.193450927734375e-05,0.2141270637512207,0.0133829414844512,0.0199543484231636,0.0620360374450683,1.5020370483398438e-05,7,0,7,5,0,5,2,2,0,12,46,0,0,0,1212,692,20.4,20.705882352941178,17665,2633,1185.0,54.0,486.3829787234043,503.7659264444613,253780.1086464464,0.5666666666666667,486.3829787234043,643.2333333333333,209.58823529411765,65535,64240,0.0046549361685047,0.0120313991524627,0.0618209838867187,2.86102294921875e-06,0,0,0,0,0,1,0,0,0,0.0049933062659369,0.0138664045488906,0.044213056564331,2.86102294921875e-06,253780.1086464464,123.0,54.0,0.538940086874586,1.0357392188490673,0.0001447545655658,5.7578086853027344e-05,3.695487976074219e-05,3.267539999478793,1,Credential Access;Discovery,Software Discovery (0/2);Credentials from Password Stores (1/6);System Information Discovery;Query Registry;Unsecured Credentials (1/8),T1518;T1555.001;T1082;T1012;T1552.001,T1518 Software Discovery;T1555.001 Credentials from Password Stores: Keychain;T1082 System Information Discovery;T1012 Query Registry;T1552.001 Unsecured Credentials: Credentials In Files,5
